iteration,score,epsilon
612,4,1e-05
613,2,1e-05
614,12,1e-05
615,24,1e-05
616,2,1e-05
617,21,1e-05
618,222,1e-05
619,29,1e-05
620,24,1e-05
621,32,1e-05
622,6,1e-05
623,14,1e-05
624,6,1e-05
625,5,1e-05
626,9,1e-05
627,18,1e-05
628,20,1e-05
629,35,1e-05
630,58,1e-05
631,6,1e-05
632,0,1e-05
633,39,1e-05
634,6,1e-05
635,20,1e-05
636,10,1e-05
637,0,1e-05
638,5,1e-05
639,4,1e-05
640,0,1e-05
641,0,1e-05
642,0,1e-05
643,18,1e-05
644,3,1e-05
645,0,1e-05
646,0,1e-05
647,0,1e-05
648,0,1e-05
649,0,1e-05
650,0,1e-05
651,0,1e-05
652,0,1e-05
653,1,1e-05
654,7,1e-05
655,0,1e-05
656,3,1e-05
657,0,1e-05
658,0,1e-05
659,0,1e-05
660,0,1e-05
661,0,1e-05
662,3,1e-05
663,3,1e-05
664,2,1e-05
665,3,1e-05
666,1,1e-05
667,0,1e-05
668,0,1e-05
669,0,1e-05
670,0,1e-05
671,7,1e-05
672,0,1e-05
673,0,1e-05
674,14,1e-05
675,0,1e-05
676,0,1e-05
677,0,1e-05
678,0,1e-05
679,0,1e-05
680,2,1e-05
681,0,1e-05
682,0,1e-05
683,1,1e-05
684,2,1e-05
685,1,1e-05
686,0,1e-05
687,7,1e-05
688,0,1e-05
689,2,1e-05
690,0,1e-05
691,4,1e-05
692,13,1e-05
693,1,1e-05
694,0,1e-05
695,6,1e-05
696,11,1e-05
697,13,1e-05
698,60,1e-05
699,13,1e-05
700,4,1e-05
701,30,1e-05
702,1,1e-05
703,3,1e-05
704,17,1e-05
705,16,1e-05
706,108,1e-05
707,22,1e-05
708,2,1e-05
709,32,1e-05
710,2,1e-05
711,63,1e-05
712,5,1e-05
713,11,1e-05
714,23,1e-05
715,24,1e-05
716,11,1e-05
717,14,1e-05
718,53,1e-05
719,31,1e-05
720,86,1e-05
721,28,1e-05
722,41,1e-05
723,35,1e-05
724,12,1e-05
725,8,1e-05
726,32,1e-05
727,22,1e-05
728,10,1e-05
729,9,1e-05
730,3,1e-05
731,24,1e-05
732,9,1e-05
733,12,1e-05
734,2,1e-05
735,31,1e-05
736,0,1e-05
737,3,1e-05
738,2,1e-05
739,1,1e-05
740,3,1e-05
741,1,1e-05
742,6,1e-05
743,5,1e-05
744,12,1e-05
745,17,1e-05
746,0,1e-05
747,0,1e-05
748,10,1e-05
749,2,1e-05
750,7,1e-05
751,5,1e-05
752,0,1e-05
753,0,1e-05
754,2,1e-05
755,9,1e-05
756,3,1e-05
757,2,1e-05
758,2,1e-05
759,2,1e-05
760,1,1e-05
761,4,1e-05
762,5,1e-05
763,2,1e-05
764,4,1e-05
765,2,1e-05
766,6,1e-05
767,4,1e-05
768,7,1e-05
769,6,1e-05
770,7,1e-05
771,7,1e-05
772,5,1e-05
773,3,1e-05
774,16,1e-05
775,10,1e-05
776,9,1e-05
777,10,1e-05
778,6,1e-05
779,7,1e-05
780,14,1e-05
781,11,1e-05
782,2,1e-05
783,12,1e-05
784,1,1e-05
785,10,1e-05
786,7,1e-05
787,15,1e-05
788,10,1e-05
789,6,1e-05
790,22,1e-05
791,1,1e-05
792,26,1e-05
793,5,1e-05
794,2,1e-05
795,14,1e-05
796,2,1e-05
797,4,1e-05
798,1,1e-05
799,15,1e-05
800,4,1e-05
801,3,1e-05
802,4,1e-05
803,4,1e-05
804,6,1e-05
805,3,1e-05
806,9,1e-05
807,8,1e-05
808,12,1e-05
809,9,1e-05
810,1,1e-05
811,1,1e-05
812,12,1e-05
813,6,1e-05
814,9,1e-05
815,1,1e-05
816,2,1e-05
817,2,1e-05
818,1,1e-05
819,5,1e-05
820,5,1e-05
821,2,1e-05
822,1,1e-05
823,12,1e-05
824,2,1e-05
825,1,1e-05
826,15,1e-05
827,11,1e-05
828,3,1e-05
829,1,1e-05
830,8,1e-05
831,53,1e-05
832,12,1e-05
833,4,1e-05
834,22,1e-05
835,1,1e-05
836,57,1e-05
837,44,1e-05
838,36,1e-05
839,56,1e-05
840,7,1e-05
841,52,1e-05
842,31,1e-05
843,5,1e-05
844,0,1e-05
845,5,1e-05
846,6,1e-05
847,1,1e-05
848,3,1e-05
849,0,1e-05
850,25,1e-05
851,10,1e-05
852,6,1e-05
853,1,1e-05
854,0,1e-05
855,0,1e-05
856,3,1e-05
857,0,1e-05
858,3,1e-05
859,0,1e-05
860,0,1e-05
861,0,1e-05
862,11,1e-05
863,0,1e-05
864,3,1e-05
865,1,1e-05
866,0,1e-05
867,3,1e-05
868,1,1e-05
869,3,1e-05
870,0,1e-05
871,0,1e-05
872,3,1e-05
873,3,1e-05
874,3,1e-05
875,2,1e-05
876,3,1e-05
877,1,1e-05
878,1,1e-05
879,3,1e-05
880,7,1e-05
881,4,1e-05
882,3,1e-05
883,6,1e-05
884,5,1e-05
885,11,1e-05
886,2,1e-05
887,15,1e-05
888,6,1e-05
889,14,1e-05
890,22,1e-05
891,17,1e-05
892,1,1e-05
893,27,1e-05
894,17,1e-05
895,2,1e-05
896,2,1e-05
897,4,1e-05
898,2,1e-05
899,9,1e-05
900,18,1e-05
901,2,1e-05
902,17,1e-05
903,19,1e-05
904,3,1e-05
905,5,1e-05
906,9,1e-05
907,11,1e-05
908,4,1e-05
909,5,1e-05
910,4,1e-05
911,3,1e-05
912,3,1e-05
913,10,1e-05
914,3,1e-05
915,7,1e-05
916,14,1e-05
917,2,1e-05
918,2,1e-05
919,4,1e-05
920,1,1e-05
921,2,1e-05
922,1,1e-05
923,7,1e-05
924,2,1e-05
925,2,1e-05
926,3,1e-05
927,3,1e-05
928,2,1e-05
929,19,1e-05
930,3,1e-05
931,17,1e-05
932,12,1e-05
933,13,1e-05
934,3,1e-05
935,2,1e-05
936,4,1e-05
937,5,1e-05
938,2,1e-05
939,6,1e-05
940,3,1e-05
941,5,1e-05
942,5,1e-05
943,21,1e-05
944,2,1e-05
945,7,1e-05
946,3,1e-05
947,1,1e-05
948,2,1e-05
949,1,1e-05
950,1,1e-05
951,1,1e-05
952,2,1e-05
953,7,1e-05
954,20,1e-05
955,15,1e-05
956,4,1e-05
957,2,1e-05
958,4,1e-05
959,5,1e-05
960,8,1e-05
961,12,1e-05
962,3,1e-05
963,1,1e-05
964,12,1e-05
965,16,1e-05
966,4,1e-05
967,2,1e-05
968,9,1e-05
969,2,1e-05
970,2,1e-05
971,6,1e-05
972,22,1e-05
973,8,1e-05
974,1,1e-05
975,4,1e-05
976,26,1e-05
977,4,1e-05
978,2,1e-05
979,6,1e-05
980,9,1e-05
981,5,1e-05
982,4,1e-05
983,4,1e-05
984,4,1e-05
985,2,1e-05
986,15,1e-05
987,3,1e-05
988,11,1e-05
989,2,1e-05
990,2,1e-05
991,21,1e-05
992,3,1e-05
993,31,1e-05
994,1,1e-05
995,9,1e-05
996,1,1e-05
997,1,1e-05
998,6,1e-05
999,2,1e-05
1000,31,1e-05
1001,33,1e-05
1002,18,1e-05
1003,4,1e-05
1004,11,1e-05
1005,2,1e-05
1006,1,1e-05
1007,17,1e-05
1008,19,1e-05
1009,9,1e-05
1010,15,1e-05
1011,4,1e-05
1012,6,1e-05
1013,6,1e-05
1014,3,1e-05
1015,0,1e-05
1016,20,1e-05
1017,3,1e-05
1018,0,1e-05
1019,2,1e-05
1020,3,1e-05
1021,0,1e-05
1022,0,1e-05
1023,6,1e-05
1024,8,1e-05
1025,2,1e-05
1026,2,1e-05
1027,1,1e-05
1028,1,1e-05
1029,4,1e-05
1030,6,1e-05
1031,15,1e-05
1032,2,1e-05
1033,0,1e-05
1034,3,1e-05
1035,0,1e-05
1036,27,1e-05
1037,1,1e-05
1038,7,1e-05
1039,1,1e-05
1040,5,1e-05
1041,7,1e-05
1042,2,1e-05
1043,5,1e-05
1044,25,1e-05
1045,3,1e-05
1046,10,1e-05
1047,4,1e-05
1048,4,1e-05
1049,5,1e-05
1050,1,1e-05
1051,3,1e-05
1052,4,1e-05
1053,2,1e-05
1054,8,1e-05
1055,5,1e-05
1056,1,1e-05
1057,11,1e-05
1058,7,1e-05
1059,7,1e-05
1060,2,1e-05
1061,6,1e-05
1062,4,1e-05
1063,0,1e-05
1064,2,1e-05
1065,0,1e-05
1066,3,1e-05
1067,3,1e-05
1068,0,1e-05
1069,0,1e-05
1070,5,1e-05
1071,16,1e-05
1072,0,1e-05
1073,0,1e-05
1074,0,1e-05
1075,9,1e-05
1076,0,1e-05
1077,0,1e-05
1078,6,1e-05
1079,6,1e-05
1080,5,1e-05
1081,0,1e-05
1082,3,1e-05
1083,4,1e-05
1084,0,1e-05
1085,16,1e-05
1086,6,1e-05
1087,6,1e-05
1088,10,1e-05
1089,0,1e-05
1090,0,1e-05
1091,6,1e-05
1092,8,1e-05
1093,5,1e-05
1094,1,1e-05
1095,3,1e-05
1096,6,1e-05
1097,0,1e-05
1098,3,1e-05
1099,1,1e-05
1100,0,1e-05
1101,4,1e-05
1102,7,1e-05
1103,3,1e-05
1104,2,1e-05
1105,6,1e-05
1106,0,1e-05
1107,0,1e-05
1108,2,1e-05
1109,3,1e-05
1110,7,1e-05
1111,2,1e-05
1112,0,1e-05
1113,0,1e-05
1114,0,1e-05
1115,0,1e-05
1116,0,1e-05
1117,0,1e-05
1118,1,1e-05
1119,2,1e-05
1120,2,1e-05
1121,1,1e-05
1122,2,1e-05
1123,3,1e-05
1124,6,1e-05
1125,7,1e-05
1126,6,1e-05
1127,2,1e-05
1128,13,1e-05
1129,0,1e-05
1130,13,1e-05
1131,1,1e-05
